Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join,T_tokens_VOS
Skager R.W.; Klein S.P.; Schultz C.B.,THE PREDICTION OF ACADEMIC AND ARTISTIC ACHIEVEMENT AT A SCHOOL OF DESIGN,1967,4,"['prediction', 'ACADEMIC', 'ARTISTIC', 'achievement', 'SCHOOL', 'design']","['prediction', 'academic', 'artistic', 'achievement', 'school', 'design']",prediction academic artistic achievement school design,prediction; academic; artistic achievement; school design
Jacobs S.S.,BIAS IN THE KEYING OF STANDARDIZED TESTS: A REEXAMINATION,1968,5,"['bias', 'KEYING', 'standardized', 'reexamination']","['bias', 'keying', 'standardized', 'reexamination']",bias keying standardized reexamination,bias; keying; standardized; reexamination
CARVER R.P.,A MODEL FOR USING THE FINAL EXAMINATION AS A MEASURE OF THE AMOUNT LEARNED IN CLASSROOM LEARNING,1969,6,"['FINAL', 'examination', 'measure', 'LEARNED', 'CLASSROOM', 'LEARNING']","['final', 'examination', 'measure', 'learned', 'classroom', 'learning']",final examination measure learned classroom learning,final; examination; measure; learned; classroom; learning
Braun J.R.; LaFaro D.,EFFECTS OF A GOOD IMPRESSION SET ON THE THORNDIKE DIMENSIONS OF TEMPERAMENT,1967,4,"['effect', 'good', 'impression', 'SET', 'THORNDIKE', 'dimension', 'TEMPERAMENT']","['effect', 'good', 'impression', 'set', 'thorndike', 'dimension', 'temperament']",effect good impression set thorndike dimension temperament,effect; good; impression; set; thorndike; dimension; temperament
Klein S.P.; Rock D.A.; Evans F.R.,THE USE OF MULTIPLE MODERATORS IN ACADEMIC PREDICTION,1968,5,"['MULTIPLE', 'moderators', 'ACADEMIC', 'prediction']","['multiple', 'moderators', 'academic', 'prediction']",multiple moderators academic prediction,multiple; moderators; academic; prediction
BOWERS J.,INTERACTIVE EFFECTS OF CREATIVITY AND IQ ON NINTH?êGRADE ACHIEVEMENT,1969,6,"['interactive', 'effect', 'CREATIVITY', 'IQ', 'ON', 'NINTH?êGRADE', 'ACHIEVEMENT']","['interactive', 'effect', 'creativity', 'iq', 'on', 'ninth-grade', 'achievement']",interactive effect creativity iq on ninth-grade achievement,interactive; effect; creativity; iq; on; ninth-grade; achievement
FLAUGHER R.L.; ROCK D.A.,A MULTIPLE MODERATOR APPROACH TO THE IDENTIFICATION OF OVER??AND UNDERACHIEVERS,1969,6,"['MULTIPLE', 'moderator', 'approach', 'identification', 'over??, 'underachiever']","['multiple', 'moderator', 'approach', 'identification', 'over??, 'underachiever']",multiple moderator approach identification over??underachiever,multiple; moderator; approach; identification; over?? underachiever
Crawford W.R.,ITEM DIFFICULTY AS RELATED TO THE COMPLEXITY OF INTELLECTUAL PROCESSES,1968,5,"['ITEM', 'difficulty', 'relate', 'COMPLEXITY', 'INTELLECTUAL', 'process']","['item', 'difficulty', 'relate', 'complexity', 'intellectual', 'process']",item difficulty relate complexity intellectual process,item; difficulty; relate; complexity; intellectual; process
Mason G.P.; Odeh R.E.,A SHORT?êCUT FORMULA FOR STANDARD DEVIATION,1968,5,"['short-cut', 'formula', 'standard', 'deviation']","['short-cut', 'formula', 'standard', 'deviation']",short-cut formula standard deviation,short-cut; formula; standard; deviation
Merenda P.F.; Jackson R.M.,RELATIONSHIP BETWEEN FOURTH GRADE AND SEVENTH GRADE PERFORMANCE ON THE IOWA TESTS OF BASIC SKILLS,1968,5,"['RELATIONSHIP', 'FOURTH', 'GRADE', 'SEVENTH', 'GRADE', 'performance', 'IOWA', 'basic', 'skill']","['relationship', 'fourth', 'grade', 'seventh', 'grade', 'performance', 'iowa', 'basic', 'skill']",relationship fourth grade seventh grade performance iowa basic skill,relationship; fourth-grade; seventh-grade; performance; iowa; basic; skill
Sax G.; Collet L.S.,AN EMPIRICAL COMPARISON OF THE EFFECTS OF RECALL AND MULTIPLE?êCHOICE TESTS ON STUDENT ACHIEVEMENT,1968,5,"['EMPIRICAL', 'comparison', 'effect', 'RECALL', 'multiple-choice', 'student', 'achievement']","['empirical', 'comparison', 'effect', 'recall', 'multiple-choice', 'student', 'achievement']",empirical comparison effect recall multiple-choice student achievement,empirical; comparison; effect; recall; multiple-choice; student; achievement
BAIRD L.L.,THE PREDICTION OF GRADES IN OCCUPATIONAL AND ACADEMIC CURRICULA IN 2?êYEAR COLLEGES,1969,6,"['prediction', 'GRADES', 'OCCUPATIONAL', 'academic curricula', '2-year', 'college']","['prediction', 'grades', 'occupational', 'academic', 'curricula', '2?êyear', 'college']",prediction grades occupational academic curricula 2?êyear college,prediction; grades; occupational; academic curricula; 2-year; college
Levine H.G.; McGuire C.,ROLE?êPLAYING AS AN EVALUATIVE TECHNIQUE,1968,5,"['role-playe', 'evaluative', 'TECHNIQUE']","['role-playe', 'evaluative', 'technique']",role-playe evaluative technique,role-playe; evaluative; technique
HivelyII W.; Patterson H.L.; Page S.H.,A ?úUNIVERSE?êDEFINED??SYSTEM OF ARITHMETIC ACHIEVEMENT TESTS,1968,5,"['""', 'universe?êdefined', '""', 'system', 'ARITHMETIC', 'achievement']","['""', 'universe?êdefined', '""', 'system', 'arithmetic', 'achievement']",""" universe?êdefined "" system arithmetic achievement",universe refined; system; arithmetic achievement
Ebbesen J.A.,KINDERGARTEN TEACHER RANKINGS AS PREDICTORS OF ACADEMIC ACHIEVEMENT IN THE PRIMARY GRADES,1968,5,"['KINDERGARTEN', 'teacher', 'ranking', 'predictors', 'academic', 'achievement', 'primary', 'GRADES']","['kindergarten', 'teacher', 'ranking', 'predictors', 'academic', 'achievement', 'primary', 'grades']",kindergarten teacher ranking predictors academic achievement primary grades,kindergarten; teacher; ranking; predictors; academic; achievement; primary; grades
OWENS T.R.; STUFFLEBEAM D.L.,AN EXPERIMENTAL COMPARISON OF ITEM SAMPLING AND EXAMINEE SAMPLING FOR ESTIMATING TEST NORMS,1969,6,"['experimental', 'comparison', 'item', 'SAMPLING', 'EXAMINEE', 'SAMPLING', 'estimate', 'NORMS']","['experimental', 'comparison', 'item', 'sampling', 'examinee', 'sampling', 'estimate', 'norms']",experimental comparison item sampling examinee sampling estimate norms,experimental; comparison; item; sampling; examinee; sampling; estimate; norms
"Davis O.L., Jr; Personke C.R., Jr",EFFECTS OF ADMINISTERING THE METROPOLITAN READINESS TEST IN ENGLISH AND SPANISH TO SPANISH?êSPEAKING SCHOOL ENTRANTS,1968,5,"['effect', 'administer', 'METROPOLITAN', 'READINESS', 'ENGLISH', 'spanish', 'spanish-speake', 'school', 'entrant']","['effect', 'administer', 'metropolitan', 'readiness', 'english', 'spanish', 'spanish-speake', 'school', 'entrant']",effect administer metropolitan readiness english spanish spanish-speake school entrant,effect; administer; metropolitan; readiness; english; spanish; spanish-speake; school; entrant
LINN R.L.,A NOTE ON THE STABILITY OF THE IOWA TESTS OF BASIC SKILLS,1969,6,"['note', 'STABILITY', 'IOWA', 'basic', 'skill']","['note', 'stability', 'iowa', 'basic', 'skill']",note stability iowa basic skill,note; stability; iowa; basic; skill
EAGLE N.; HARRIS A.S.,INTERACTION OF RACE AND TEST ON READING PERFORMANCE SCORES,1969,6,"['interaction', 'RACE', 'ON', 'read', 'PERFORMANCE', 'SCORES']","['interaction', 'race', 'on', 'read', 'performance', 'scores']",interaction race on read performance scores,interaction; race; on; read; performance; scores
Traub R.E.,COMMENT ON GLASS'RESPONSE,1968,5,"['comment', 'glassresponse']","['comment', 'glassresponse']",comment glassresponse,comment; glassresponse
Weigel R.G.; Frazier J.E.,THE EFFECTS OF ?úFEELING??AND ?úBEHAVIOR??INSTRUCTIONS ON RESPONSES TO THE EDWARDS PERSONAL PREFERENCE SCHEDULE,1968,5,"['effect', '""', 'feel', '""', '""', 'behavior', '""', 'instruction', 'response', 'EDWARDS', 'PERSONAL', 'preference', 'schedule']","['effect', '""', 'feel', '""', '""', 'behavior', '""', 'instruction', 'response', 'edwards', 'personal', 'preference', 'schedule']","effect "" feel "" "" behavior "" instruction response edwards personal preference schedule",effect; feel;  behavior;  instruction; response; edwards; personal; preference; schedule
Thorndike R.L.,A VERIFICATION KEY FOR THE THORNDIKE DIMENSIONS OF TEMPERAMENT,1968,5,"['verification', 'key', 'thorndike', 'dimension', 'TEMPERAMENT']","['verification', 'key', 'thorndike', 'dimension', 'temperament']",verification key thorndike dimension temperament,verification; key; thorndike; dimension; temperament
Horn J.L.; Adams D.K.; Levy G.,ON THE CONCEPT VALIDITY OF MMPI SCALES,1968,5,"['CONCEPT', 'VALIDITY', 'MMPI', 'scale']","['concept', 'validity', 'mmpi', 'scale']",concept validity mmpi scale,concept; validity; mmpi; scale
Ebel R.L.,THE RELATION OF ITEM DISCRIMINATION TO TEST RELIABILITY,1967,4,"['RELATION', 'ITEM', 'discrimination', 'RELIABILITY']","['relation', 'item', 'discrimination', 'reliability']",relation item discrimination reliability,item relation; ; discrimination; reliability
Sabers D.L.; Feldt L.S.,AN EMPIRICAL STUDY OF THE EFFECT OF THE CORRECTION FOR CHANCE SUCCESS ON THE RELIABILITY AND VALIDITY OF AN APTITUDE TEST,1968,5,"['EMPIRICAL', 'study', 'effect', 'correction', 'CHANCE', 'SUCCESS', 'RELIABILITY', 'VALIDITY', 'APTITUDE']","['empirical', 'study', 'effect', 'correction', 'chance', 'success', 'reliability', 'validity', 'aptitude']",empirical study effect correction chance success reliability validity aptitude,empirical study; effect; correction; chance; success; reliability; validity; aptitude
"Richards J.M., Jr; Lutz S.W.",PREDICTING STUDENT ACCOMPLISHMENT IN COLLEGE FROM THE ACT ASSESSMENT,1968,5,"['predict', 'student', 'accomplishment', 'COLLEGE', 'ACT', 'assessment']","['predict', 'student', 'accomplishment', 'college', 'act', 'assessment']",predict student accomplishment college act assessment,predict; student; accomplishment; college; act; assessment
DUSEWICZ R.A.; KERSHNER K.M.,A SCALE FOR THE MEASUREMENT OF LATERAL DOMINANCE,1969,6,"['scale', 'lateral', 'dominance']","['scale', 'lateral', 'dominance']",scale lateral dominance,scale; lateral; dominance
Wrightstone J.W.,HOW EFFECTIVE ARE THE ?úMORE EFFECTIVE SCHOOLS??,1968,5,"['effective', '""', 'effective', 'SCHOOLS', '""']","['effective', '""', 'effective', 'schools', '""']","effective "" effective schools ""","effective; ""; effective; schools; """
FREMER J.; ANASTASIO E.J.,COMPUTER?êASSISTED ITEM WRITING?? (SPELLING ITEMS),1969,6,"['computer-assiste', 'ITEM', 'WRITING??', 'SPELLING', 'ITEMS']","['computer-assiste', 'item', 'writing??', 'spelling', 'items']",computer-assiste item writing?? spelling items,computer-assiste; item; writing??; spelling; items
Cleary T.A.; Linn R.L.; Rock D.A.,REPRODUCTION OF TOTAL TEST SCORE THROUGH THE USE OF SEQUENTIAL PROGRAMMED TESTS,1968,5,"['reproduction', 'total', 'score', 'USE', 'SEQUENTIAL', 'PROGRAMMED']","['reproduction', 'total', 'score', 'use', 'sequential', 'programmed']",reproduction total score use sequential programmed,reproduction; total; score; use; sequential; programmed
SIMON W.E.,EXPECTANCY EFFECTS IN THE SCORING OF VOCABULARY ITEMS: A STUDY OF SCORER BIAS,1969,6,"['expectancy', 'effect', 'scoring', 'VOCABULARY', 'items', 'study', 'SCORER', 'BIAS']","['expectancy', 'effect', 'scoring', 'vocabulary', 'items', 'study', 'scorer', 'bias']",expectancy effect scoring vocabulary items study scorer bias,expectancy; effect; scoring; vocabulary; items; study; scorer; bias
INGLE R.B.; DEAMICO G.,THE EFFECT OF PHYSICAL CONDITIONS OF THE TEST ROOM ON STANDARDIZED ACHIEVEMENT TEST SCORES,1969,6,"['effect', 'physical', 'condition', 'room', 'standardized', 'ACHIEVEMENT', 'SCORES']","['effect', 'physical', 'condition', 'room', 'standardized', 'achievement', 'scores']",effect physical condition room standardized achievement scores,effect; physical; condition; room; standardized; achievement; scores
TERWILLIGER J.S.; ANDERSON D.H.,AN EMPIRICAL STUDY OF THE EFFECTS OF STANDARDIZING SCORES IN THE FORMATION OF LINEAR COMPOSITES,1969,6,"['EMPIRICAL', 'study', 'effect', 'STANDARDIZING', 'SCORES', 'formation', 'LINEAR', 'composite']","['empirical', 'study', 'effect', 'standardizing', 'scores', 'formation', 'linear', 'composite']",empirical study effect standardizing scores formation linear composite,empirical; study; effect; standardizing; scores; formation; linear; composite
Glass G.W.,RESPONSE TO TRAUB'S ?úNOTE ON THE RELIABILITY OF RESIDUAL CHANGE SCORES??1968,5,"['RESPONSE', 'TRAUBS', '""', 'note', 'RELIABILITY', 'RESIDUAL', 'CHANGE', 'SCORES', '""']","['response', 'traubs', '""', 'note', 'reliability', 'residual', 'change', 'scores', '""']","response traubs "" note reliability residual change scores ""","response; traubs; ""; note; reliability; residual; change; scores; """,
Grotelueschen A.; Knox A.B.,ANALYSIS OF QUICK WORD TEST AS AN ESTIMATE OF ADULT MENTAL ABILITY,1967,4,"['analysis', 'QUICK', 'WORD', 'estimate', 'adult', 'MENTAL', 'ABILITY']","['analysis', 'quick', 'word', 'estimate', 'adult', 'mental', 'ability']",analysis quick word estimate adult mental ability,analysis; quick; word; estimate; adult; mental; ability
YEE A.H.; KRIEWALL T.,A NEW LOGICAL SCORING KEY FOR THE MINNESOTA TEACHER ATTITUDE INVENTORY,1969,6,"['new', 'LOGICAL', 'scoring', 'key', 'minnesota', 'teacher', 'ATTITUDE', 'INVENTORY']","['new', 'logical', 'scoring', 'key', 'minnesota', 'teacher', 'attitude', 'inventory']",new logical scoring key minnesota teacher attitude inventory,new; logical; scoring; key; minnesota; teacher; attitude; inventory
Slakter M.J.,THE PENALTY FOR NOT GUESSING,1968,5,"['PENALTY', 'guess']","['penalty', 'guess']",penalty guess,penalty; guess
Slakter M.J.,THE EFFECT OF GUESSING STRATEGY ON OBJECTIVE TEST SCORES,1968,5,"['effect', 'GUESSING', 'STRATEGY', 'ON', 'OBJECTIVE', 'SCORES']","['effect', 'guessing', 'strategy', 'on', 'objective', 'scores']",effect guessing strategy on objective scores,effect; guessing; strategy; on; objective; scores
STALLINGS W.M.; ANDERSON F.E.,SOME CHARACTERISTICS AND CORRELATES OF THE MEIER ART TEST OF AESTHETIC PERCEPTION UNDER TWO SYSTEMS OF SCORING,1969,6,"['CHARACTERISTICS', 'correlate', 'MEIER', 'ART', 'AESTHETIC', 'perception', 'systems', 'scoring']","['characteristics', 'correlate', 'meier', 'art', 'aesthetic', 'perception', 'systems', 'scoring']",characteristics correlate meier art aesthetic perception systems scoring,characteristics; correlate; meier; art; aesthetic; perception; systems; scoring
LUNNEBORG C.E.; LUNNEBORG P.W.,DEVIATIONS FROM PREDICTED GROWTH OF ABILITIES FOR MALE AND FEMALE COLLEGE STUDENTS,1969,6,"['deviation', 'PREDICTED', 'growth', 'ability', 'MALE', 'FEMALE', 'COLLEGE', 'student']","['deviation', 'predicted', 'growth', 'ability', 'male', 'female', 'college', 'student']",deviation predicted growth ability male female college student,deviation; predicted; growth; ability; male; female; college; student
Khan S.B.,THE RELATIVE MAGNITUDE OF SPEED AND POWER IN SCAT,1968,5,"['RELATIVE', 'MAGNITUDE', 'speed', 'POWER', 'SCAT']","['relative', 'magnitude', 'speed', 'power', 'scat']",relative magnitude speed power scat,relative; magnitude; speed; power; scat
Perlberg A.,PREDICTING ACADEMIC ACHIEVEMENTS OF ENGINEERING AND SCIENCE COLLEGE STUDENTS,1967,4,"['predict', 'academic', 'achievement', 'engineering', 'SCIENCE', 'COLLEGE', 'student']","['predict', 'academic', 'achievement', 'engineering', 'science', 'college', 'student']",predict academic achievement engineering science college student,predict; academic; achievement; engineering; science; college; student
Bashaw W.L.,A NOTE ON CORRECTING ITEM?êTOTAL CORRELATIONS,1968,5,"['note', 'CORRECTING', 'item-total', 'CORRELATIONS']","['note', 'correcting', 'item-total', 'correlations']",note correcting item-total correlations,note; correcting; item-total; correlations
Fremer J.; Coffman W.E.; Taylor P.H.,THE COLLEGE BOARD SCHOLASTIC APTITUDE TEST AS A PREDICTOR OF ACADEMIC ACHIEVEMENT IN SECONDARY SCHOOLS IN ENGLAND,1968,5,"['COLLEGE', 'board', 'SCHOLASTIC', 'APTITUDE', 'predictor', 'ACADEMIC', 'achievement', 'SECONDARY', 'SCHOOLS', 'ENGLAND']","['college', 'board', 'scholastic', 'aptitude', 'predictor', 'academic', 'achievement', 'secondary', 'schools', 'england']",college board scholastic aptitude predictor academic achievement secondary schools england,college; board; scholastic; aptitude; predictor; academic; achievement; secondary; schools; england
