"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"ERLICH O.; BORICH G.","ERLICH, ODED (6506667871); BORICH, GARY (16502419400)","6506667871; 16502419400","OCCURRENCE AND GENERALIZABILITY OF SCORES ON A CLASSROOM INTERACTION INSTRUMENT","1979","Journal of Educational Measurement","16","1","","11","18","7","15","10.1111/j.1745-3984.1979.tb00081.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973705922&doi=10.1111%2fj.1745-3984.1979.tb00081.x&partnerID=40&md5=52460f21e6b4860cbe24ffaa89ecb2be","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84973705922"
"SHANI E.; PETROSKO J.M.","SHANI, ESTHER (57195040401); PETROSKO, JOSEPH M. (14067552800)","57195040401; 14067552800","STRUCTURAL COMPONENTS DERIVED FROM EVALUATING STANDARDIZED TESTS","1976","Journal of Educational Measurement","13","4","","283","296","13","0","10.1111/j.1745-3984.1976.tb00019.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024946956&doi=10.1111%2fj.1745-3984.1976.tb00019.x&partnerID=40&md5=581a0f54fbdb67779307c460058862f9","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85024946956"
"ROWLEY G.L.; TRAUB R.E.","ROWLEY, GLENN L. (7006131497); TRAUB, ROSS E. (7102034665)","7006131497; 7102034665","FORMULA SCORING, NUMBER‐RIGHT SCORING, AND TEST‐TAKING STRATEGY","1977","Journal of Educational Measurement","14","1","","15","22","7","43","10.1111/j.1745-3984.1977.tb00024.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002338889&doi=10.1111%2fj.1745-3984.1977.tb00024.x&partnerID=40&md5=a5114bd1fa4078e349917bb34249c261","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-0002338889"
"ALGINA J.; NOE M.J.","ALGINA, JAMES (7003768166); NOE, MICHAEL J. (7006269965)","7003768166; 7006269965","A STUDY OF THE ACCURACY OF SUBKOVIAK'S SINGLE‐ADMINISTRATION ESTIMATE OF THE COEFFICIENT OF AGREEMENT USING TWO TRUE‐SCORE ESTIMATES","1978","Journal of Educational Measurement","15","2","","101","110","9","11","10.1111/j.1745-3984.1978.tb00061.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970135707&doi=10.1111%2fj.1745-3984.1978.tb00061.x&partnerID=40&md5=71322d202b810c578ef902edfec60eda","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84970135707"
"SCHWARTZ S.A.","SCHWARTZ, STEVEN A. (57195042460)","57195042460","A COMPREHENSIVE SYSTEM FOR ITEM ANALYSIS IN PSYCHOLOGICAL SCALE CONSTRUCTION","1978","Journal of Educational Measurement","15","2","","117","123","6","2","10.1111/j.1745-3984.1978.tb00063.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930461217&doi=10.1111%2fj.1745-3984.1978.tb00063.x&partnerID=40&md5=fa00d779344c7d96a0a6bc0e5efbdcc9","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84930461217"
"WHITELY S.E.","WHITELY, SUSAN E. (16493742700)","16493742700","MODELS, MEANINGS AND MISUNDERSTANDINGS: SOME ISSUES IN APPLYING RASCH'S THEORY","1977","Journal of Educational Measurement","14","3","","227","235","8","14","10.1111/j.1745-3984.1977.tb00040.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954605089&doi=10.1111%2fj.1745-3984.1977.tb00040.x&partnerID=40&md5=2888a14b563a3574da46624667ad4bd6","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-77954605089"
"CATTELL R.B.; HORN J.L.","CATTELL, RAYMOND B. (7006243977); HORN, JOHN L. (7203079849)","7006243977; 7203079849","A CHECK ON THE THEORY OF FLUID AND CRYSTALLIZED INTELLIGENCE WITH DESCRIPTION OF NEW SUBTEST DESIGNS","1978","Journal of Educational Measurement","15","3","","139","164","25","188","10.1111/j.1745-3984.1978.tb00065.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971745630&doi=10.1111%2fj.1745-3984.1978.tb00065.x&partnerID=40&md5=11e7113da897f26eab2799b5b4cb115d","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84971745630"
"SLINDE J.A.; LINN R.L.","SLINDE, JEFFREY A. (6507638009); LINN, ROBERT L. (56126633100)","6507638009; 56126633100","A NOTE ON VERTICAL EQUATING VIA THE RASCH MODEL FOR GROUPS OF QUITE DIFFERENT ABILITY AND TESTS OF QUITE DIFFERENT DIFFICULTY","1979","Journal of Educational Measurement","16","3","","159","165","6","26","10.1111/j.1745-3984.1979.tb00097.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970351802&doi=10.1111%2fj.1745-3984.1979.tb00097.x&partnerID=40&md5=877451ad547d4baa28b2fe5ebcc445f3","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84970351802"
"GOLDMAN R.D.; HEWITT B.N.","GOLDMAN, ROY D. (7402001118); HEWITT, BARBARA NEWLIN (14833726300)","7402001118; 14833726300","PREDICTING THE SUCCESS OF BLACK, CHICANO, ORIENTAL AND WHITE COLLEGE STUDENTS","1976","Journal of Educational Measurement","13","2","","107","117","10","52","10.1111/j.1745-3984.1976.tb00002.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971724257&doi=10.1111%2fj.1745-3984.1976.tb00002.x&partnerID=40&md5=d8399d00348c5095849ab8065afe17f8","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84971724257"
"BLOCK J.H.","BLOCK, JAMES H. (25953851700)","25953851700","STANDARDS AND CRITERIA: A RESPONSE","1978","Journal of Educational Measurement","15","4","","291","295","4","9","10.1111/j.1745-3984.1978.tb00076.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85005371123&doi=10.1111%2fj.1745-3984.1978.tb00076.x&partnerID=40&md5=cec4f3794184d2c9f9cefaf5fe37568b","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85005371123"
"HOWARD G.S.; SCHMECK R.R.; BRAY J.H.","HOWARD, GEORGE S. (7202022063); SCHMECK, RONALD R. (6602624129); BRAY, JAMES H. (7102443229)","7202022063; 6602624129; 7102443229","INTERNAL INVALIDITY IN STUDIES EMPLOYING SELF‐REPORT INSTRUMENTS: A SUGGESTED REMEDY","1979","Journal of Educational Measurement","16","2","","129","135","6","103","10.1111/j.1745-3984.1979.tb00094.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000587084&doi=10.1111%2fj.1745-3984.1979.tb00094.x&partnerID=40&md5=eef379204d24e63b760272f6cfc2cdb0","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-0000587084"
"GILLMORE G.M.; KANE M.T.; NACCARATO R.W.","GILLMORE, GERALD M. (6701577870); KANE, MICHAEL T. (36088969800); NACCARATO, RICHARD W. (57195042498)","6701577870; 36088969800; 57195042498","THE GENERALIZABILITY OF STUDENT RATINGS OF INSTRUCTION: ESTIMATION OF THE TEACHER AND COURSE COMPONENTS","1978","Journal of Educational Measurement","15","1","","1","13","12","71","10.1111/j.1745-3984.1978.tb00051.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994932183&doi=10.1111%2fj.1745-3984.1978.tb00051.x&partnerID=40&md5=4b33a9d407e7daed272add383a584d13","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84994932183"
"HARTKE A.R.","HARTKE, ALAN R. (57189188684)","57189188684","THE USE OF LATENT PARTITION ANALYSIS TO IDENTIFY HOMOGENEITY OF AN ITEM POPULATION","1978","Journal of Educational Measurement","15","1","","43","47","4","5","10.1111/j.1745-3984.1978.tb00055.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987226512&doi=10.1111%2fj.1745-3984.1978.tb00055.x&partnerID=40&md5=c05d0d3536ebf10f961a75831559cd17","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84987226512"
"AMBROSINO R.J.; MCMORRIS R.F.; NOVAL L.K.","AMBROSINO, ROBERT J. (6602932389); MCMORRIS, ROBERT F. (6603270899); NOVAL, LORRAINE K. (57189185896)","6602932389; 6603270899; 57189185896","PARTITIONING METHODS FOR DETECTING MISCONCEPTIONS OF CONTENT AND TEST ITEMS","1979","Journal of Educational Measurement","16","3","","187","195","8","1","10.1111/j.1745-3984.1979.tb00100.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024961687&doi=10.1111%2fj.1745-3984.1979.tb00100.x&partnerID=40&md5=62f5f80cbc90d8e738fb22f0b6a8e7d9","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85024961687"
