Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join
ERLICH O.; BORICH G.,OCCURRENCE AND GENERALIZABILITY OF SCORES ON A CLASSROOM INTERACTION INSTRUMENT,1979,16,"['occurrence', 'GENERALIZABILITY', 'scores', 'CLASSROOM', 'INTERACTION', 'INSTRUMENT']","['occurrence', 'generalizability', 'scores', 'classroom', 'interaction', 'instrument']",occurrence generalizability scores classroom interaction instrument
SHANI E.; PETROSKO J.M.,STRUCTURAL COMPONENTS DERIVED FROM EVALUATING STANDARDIZED TESTS,1976,13,"['STRUCTURAL', 'component', 'DERIVED', 'evaluate', 'standardized', 'test']","['structural', 'component', 'derived', 'evaluate', 'standardized', 'test']",structural component derived evaluate standardized test
ROWLEY G.L.; TRAUB R.E.,"FORMULA SCORING, NUMBER‐RIGHT SCORING, AND TEST‐TAKING STRATEGY",1977,14,"['formula', 'scoring', 'NUMBER‐RIGHT', 'SCORING', 'TEST‐TAKING', 'STRATEGY']","['formula', 'scoring', 'number‐right', 'scoring', 'test‐taking', 'strategy']",formula scoring number‐right scoring test‐taking strategy
ALGINA J.; NOE M.J.,A STUDY OF THE ACCURACY OF SUBKOVIAK'S SINGLE‐ADMINISTRATION ESTIMATE OF THE COEFFICIENT OF AGREEMENT USING TWO TRUE‐SCORE ESTIMATES,1978,15,"['study', 'ACCURACY', 'SUBKOVIAKS', 'single‐administration', 'ESTIMATE', 'COEFFICIENT', 'agreement', 'TRUE‐SCORE', 'estimate']","['study', 'accuracy', 'subkoviaks', 'single‐administration', 'estimate', 'coefficient', 'agreement', 'true‐score', 'estimate']",study accuracy subkoviaks single‐administration estimate coefficient agreement true‐score estimate
SCHWARTZ S.A.,A COMPREHENSIVE SYSTEM FOR ITEM ANALYSIS IN PSYCHOLOGICAL SCALE CONSTRUCTION,1978,15,"['COMPREHENSIVE', 'system', 'ITEM', 'ANALYSIS', 'PSYCHOLOGICAL', 'scale', 'construction']","['comprehensive', 'system', 'item', 'analysis', 'psychological', 'scale', 'construction']",comprehensive system item analysis psychological scale construction
WHITELY S.E.,"MODELS, MEANINGS AND MISUNDERSTANDINGS: SOME ISSUES IN APPLYING RASCH'S THEORY",1977,14,"['meaning', 'misunderstanding', 'issue', 'apply', 'RASCHS', 'THEORY']","['meaning', 'misunderstanding', 'issue', 'apply', 'raschs', 'theory']",meaning misunderstanding issue apply raschs theory
CATTELL R.B.; HORN J.L.,A CHECK ON THE THEORY OF FLUID AND CRYSTALLIZED INTELLIGENCE WITH DESCRIPTION OF NEW SUBTEST DESIGNS,1978,15,"['check', 'theory', 'fluid', 'crystallized', 'intelligence', 'description', 'new', 'subtest', 'design']","['check', 'theory', 'fluid', 'crystallized', 'intelligence', 'description', 'new', 'subtest', 'design']",check theory fluid crystallized intelligence description new subtest design
SLINDE J.A.; LINN R.L.,A NOTE ON VERTICAL EQUATING VIA THE RASCH MODEL FOR GROUPS OF QUITE DIFFERENT ABILITY AND TESTS OF QUITE DIFFERENT DIFFICULTY,1979,16,"['note', 'VERTICAL', 'EQUATING', 'RASCH', 'MODEL', 'GROUPS', 'different', 'ABILITY', 'test', 'different', 'difficulty']","['note', 'vertical', 'equating', 'rasch', 'model', 'groups', 'different', 'ability', 'test', 'different', 'difficulty']",note vertical equating rasch model groups different ability test different difficulty
GOLDMAN R.D.; HEWITT B.N.,"PREDICTING THE SUCCESS OF BLACK, CHICANO, ORIENTAL AND WHITE COLLEGE STUDENTS",1976,13,"['predict', 'success', 'BLACK', 'CHICANO', 'oriental', 'WHITE', 'COLLEGE', 'student']","['predict', 'success', 'black', 'chicano', 'oriental', 'white', 'college', 'student']",predict success black chicano oriental white college student
BLOCK J.H.,STANDARDS AND CRITERIA: A RESPONSE,1978,15,"['STANDARDS', 'CRITERIA', 'response']","['standards', 'criteria', 'response']",standards criteria response
HOWARD G.S.; SCHMECK R.R.; BRAY J.H.,INTERNAL INVALIDITY IN STUDIES EMPLOYING SELF‐REPORT INSTRUMENTS: A SUGGESTED REMEDY,1979,16,"['INTERNAL', 'INVALIDITY', 'study', 'employ', 'SELF‐REPORT', 'instrument', 'suggested', 'remedy']","['internal', 'invalidity', 'study', 'employ', 'self‐report', 'instrument', 'suggested', 'remedy']",internal invalidity study employ self‐report instrument suggested remedy
GILLMORE G.M.; KANE M.T.; NACCARATO R.W.,THE GENERALIZABILITY OF STUDENT RATINGS OF INSTRUCTION: ESTIMATION OF THE TEACHER AND COURSE COMPONENTS,1978,15,"['GENERALIZABILITY', 'student', 'RATINGS', 'INSTRUCTION', 'estimation', 'teacher', 'course', 'component']","['generalizability', 'student', 'ratings', 'instruction', 'estimation', 'teacher', 'course', 'component']",generalizability student ratings instruction estimation teacher course component
HARTKE A.R.,THE USE OF LATENT PARTITION ANALYSIS TO IDENTIFY HOMOGENEITY OF AN ITEM POPULATION,1978,15,"['LATENT', 'partition', 'analysis', 'IDENTIFY', 'homogeneity', 'ITEM', 'POPULATION']","['latent', 'partition', 'analysis', 'identify', 'homogeneity', 'item', 'population']",latent partition analysis identify homogeneity item population
AMBROSINO R.J.; MCMORRIS R.F.; NOVAL L.K.,PARTITIONING METHODS FOR DETECTING MISCONCEPTIONS OF CONTENT AND TEST ITEMS,1979,16,"['partition', 'METHODS', 'detect', 'MISCONCEPTIONS', 'CONTENT', 'test', 'ITEMS']","['partition', 'methods', 'detect', 'misconceptions', 'content', 'test', 'items']",partition methods detect misconceptions content test items
SLINDE J.A.; LINN R.L.,VERTICALLY EQUATED TESTS: FACT OR PHANTOM?,1977,14,"['VERTICALLY', 'equate', 'test', 'fact', 'phantom']","['vertically', 'equate', 'test', 'fact', 'phantom']",vertically equate test fact phantom
