Authors,Title,Year,Volume,Abstract,T_tokens_,T_tokens,T_tokens_join
Güler N.; Penfield R.D.,A comparison of the logistic regression and contingency table methods for simultaneous detection of uniform and nonuniform dif,2009,46,"In this study, we investigate the logistic regression (LR), Mantel-Haenszel (MH), and Breslow-Day (BD) procedures for the simultaneous detection of both uniform and nonuniform differential item functioning (DIF). A simulation study was used to assess and compare the Type I error rate and power of a combined decision rule (CDR), which assesses DIF using a combination of the decisions made with BD and MH to those of LR. The results revealed that while the Type I error rate of CDR was consistently below the nominal alpha level, the Type I error rate of LR was high for the conditions having unequal ability distributions. In addition, the power of CDR was consistently higher than that of LR across all forms of DIF. © 2009 by the National Council on Measurement in Education.","['comparison', 'logistic', 'regression', 'contingency', 'table', 'method', 'simultaneous', 'detection', 'uniform', 'nonuniform', 'dif']","['comparison', 'logistic', 'regression', 'contingency', 'table', 'method', 'simultaneous', 'detection', 'uniform', 'nonuniform', 'dif']",comparison logistic regression contingency table method simultaneous detection uniform nonuniform dif
Kim S.,A comparative study of IRT fixed parameter calibration methods,2006,43,"This article provides technical descriptions of five fixed parameter calibration (FPC) methods, which were based on marginal maximum likelihood estimation via the EM algorithm, and evaluates them through simulation. The five FPC methods described are distinguished from each other by how many times they update the prior ability distribution and by how many EM cycles they use. Specifically, the five FPC methods included no prior weights updating and one EM cycle (NWU-OEM) or multiple EM cycles (NWU-MEM), one prior weights updating and one EM cycle (OWU-OEM) or multiple EM cycles (OWU-MEM), and multiple weights updating and multiple EM cycles (MWU-MEM) methods. All the five FPC methods were evaluated in terms of recovery of the underlying ability distribution and item parameters. An important factor in the simulation was three different ability (normal) distributions - N(0, 1), N(0.5, 1.2 2), and N(1, 1.4 2)-for FPC groups, with the fixed item parameters obtained with a reference N(0, 1) group. Only the MWU-MEM method appeared to perform properly under all the three distributions. Under the N(0, 1) distribution, the NWU-MEM and OWU-MEM methods also appeared to perform properly. Under the N(0.5, 1.2 2), and N(1, 1.4 2) distributions, however, the four methods other than the MWU-MEM method resulted in some or severe under-estimation in the recovery.","['comparative', 'study', 'IRT', 'fix', 'parameter', 'calibration', 'method']","['comparative', 'study', 'irt', 'fix', 'parameter', 'calibration', 'method']",comparative study irt fix parameter calibration method
Dorans N.J.,Using subpopulation invariance to assess test score equity,2004,41,"Score equity assessment (SEA) is introduced, and placed within a fair assessment context that includes differential prediction or fair selection and differential item functioning. The notion of subpopulation invariance of linking functions is central to the assessment of score equity, just as it has been for differential item functioning and differential prediction. Advanced Placement (AP) data are used for illustrative purposes. The use of multiple-choice and constructed response items in AP provides an opportunity to observe a case where subpopulation invariance of linking functions does not hold (U.S. History), and a case in which it does hold (Calculus AB). The lack of invariance for U.S. History might be attributed to several sources. The role of SEA in assessing the fairness of test assembly processes is discussed.","['subpopulation', 'invariance', 'assess', 'test', 'score', 'equity']","['subpopulation', 'invariance', 'assess', 'test', 'score', 'equity']",subpopulation invariance assess test score equity
Finch H.,Comparison of the performance of varimax and promax rotations: Factor structure recovery for dichotomous items,2006,43,"Nonlinear factor analysis is a tool commonly used by measurement specialists to identify both the presence and nature of multidimensionality in a set of test items, an important issue given that standard Item Response Theory models assume a unidimensional latent structure. Results from most factor-analytic algorithms include loading matrices, which are used to link items with factors. Interpretation of the loadings typically occurs after they have been rotated in order to amplify the presence of simple structure. The purpose of this simulation study is to compare the ability of two commonly used methods of rotation, Varimax and Promax, in terms of their ability to correctly link items to factors and to identify the presence of simple structure. Results suggest that the two approaches are equally able to recover the underlying factor structure, regardless of the correlations among the factors, though the oblique method is better able to identify the presence of a ""simple structure."" These results suggest that for identifying which items are associated with which factors, either approach is effective, but that for identifying simple structure when it is present, the oblique method is preferable. © Copyright 2006 by the National Council on Measurement in Education.","['comparison', 'performance', 'varimax', 'promax', 'rotation', 'Factor', 'structure', 'recovery', 'dichotomous', 'item']","['comparison', 'performance', 'varimax', 'promax', 'rotation', 'factor', 'structure', 'recovery', 'dichotomous', 'item']",comparison performance varimax promax rotation factor structure recovery dichotomous item
Meyer J.P.; Setzer J.C.,A comparison of bridging methods in the analysis of NAEP trends with the new race subgroup definitions,2009,46,"Recent changes to federal guidelines for the collection of data on race and ethnicity allow respondents to select multiple race categories. Redefining race subgroups in this manner poses problems for research spanning both sets of definitions. NAEP long-term trends have used the single-race subgroup definitions for over thirty years. Little is known about the effects of redefining race subgroups on these trends. Bridging methods for reconciling the single and multiple race definitions have been developed. These methods treat single-race subgroup membership as unknown or missing. A simulation study was conducted to determine the effectiveness of four bridging methods: multiple imputation logistic regression, multiple imputation probabilistic whole assignment, deterministic whole assignment - smallest group, and deterministic whole assignment - largest group. Only the first of these methods incorporates covariate information about examinees into the bridging procedure. The other three methods only use information contained in the race item response. The simulation took into account the percentage of biracial examinees and the missing data mechanism. Results indicated that the multiple imputation logistic regression was often the best performing method. Given that all K-12 and higher education institutions will be required to use the multiple-race definitions by 2009, implications for No Child Left Behind and other federally mandated reporting are discussed. © 2009 by the National Council on Measurement in Education.","['comparison', 'bridge', 'method', 'analysis', 'naep', 'trend', 'new', 'race', 'subgroup', 'definition']","['comparison', 'bridge', 'method', 'analysis', 'naep', 'trend', 'new', 'race', 'subgroup', 'definition']",comparison bridge method analysis naep trend new race subgroup definition
Gierl M.J.; Leighton J.P.; Tan X.,Evaluating DETECT classification accuracy and consistency when data display complex structure,2006,43,"DETECT, the acronym for Dimensionality Evaluation To Enumerate Contributing Traits, is an innovative and relatively new nonparametric dimensionality assessment procedure used to identify mutually exclusive, dimensionally homogeneous clusters of items using a genetic algorithm (Zhang & Stout, 1999). Because the clusters of items are mutually exclusive, this procedure is most useful when the data display approximate simple structure. In many testing situations, however, data display a complex multidimensional structure. The purpose of the current study was to evaluate DETECT item classification accuracy and consistency when the data display different degrees of complex structure using both simulated and real data. Three variables were manipulated in the simulation study: The percentage of items displaying complex structure (10%, 30%, and 50%), the correlation between dimensions (.00, .30, .60, .75, and .90), and the sample size (500, 1,000, and 1,500). The results from the simulation study reveal that DETECT can accurately and consistently cluster items according to their true underlying dimension when as many as 30% of the items display complex structure, if the correlation between dimensions is less than or equal to .75 and the sample size is at least 1,000 examinees. If 50% of the items display complex structure, then the correlation between dimensions should be less than or equal to .60 and the sample size be, at least, 1,000 examinees. When the correlation between dimensions is .90, DETECT does not work well with any complex dimensional structure or sample size. Implications for practice and directions for future research are discussed.","['evaluate', 'detect', 'classification', 'accuracy', 'consistency', 'datum', 'display', 'complex', 'structure']","['evaluate', 'detect', 'classification', 'accuracy', 'consistency', 'datum', 'display', 'complex', 'structure']",evaluate detect classification accuracy consistency datum display complex structure
Prowker A.; Camilli G.,Looking beyond the overall scores of NAEP assessments: Applications of generalized linear mixed modeling for exploring value-added item difficulty effects,2007,44,"The central idea of differential item functioning (DIF) is to examine differences between two groups at the item level while controlling for overall proficiency. This approach is useful for examining hypotheses at a finer-grain level than are permitted by a total test score. The methodology proposed in this paper is also aimed at estimating differences at the item rather than the overall score level, yet with the innovation where item-level differences for many groups simultaneously are the focus. This is a straightforward generalization of DIF as variance rather than one or several group differences; conceptually, this can be referred to as item difficulty variation (IDV). When instruction is of interest, and ""groups"" is a unit at which instruction is determined or delivered, then IDV signals value-added effects that can be influenced by either demographic or instructional variables. © 2007 by the National Council on Measurement in Education.","['look', 'overall', 'score', 'naep', 'assessment', 'application', 'generalized', 'linear', 'mixed', 'modeling', 'explore', 'valueadde', 'item', 'difficulty', 'effect']","['look', 'overall', 'score', 'naep', 'assessment', 'application', 'generalized', 'linear', 'mixed', 'modeling', 'explore', 'valueadde', 'item', 'difficulty', 'effect']",look overall score naep assessment application generalized linear mixed modeling explore valueadde item difficulty effect
Monahan P.O.; Lee W.-C.; Ankenmann R.D.,Generating dichotomous item scores with the four-parameter beta compound binomial model,2007,44,"A Monte Carlo simulation technique for generating dichotomous item scores is presented that implements (a) a psychometric model with different explicit assumptions than traditional parametric item response theory (IRT) models, and (b) item characteristic curves without restrictive assumptions concerning mathematical form. The four-parameter beta compound-binomial (4PBCB) strong true score model (with two-term approximation to the compound binomial) is used to estimate and generate the true score distribution. The nonparametric item-true score step functions are estimated by classical item difficulties conditional on proportion-correct total score. The technique performed very well in replicating inter-item correlations, item statistics (point-biserial correlation coefficients and item proportion-correct difficulties), first four moments of total score distribution, and coefficient alpha of three real data sets consisting of educational achievement test scores. The technique replicated real data (including subsamples of differing proficiency) as well as the three-parameter logistic (3PL) IRT model (and much better than the 1PL model) and is therefore a promising alternative simulation technique. This 4PBCB technique may be particularly useful as a more neutral simulation procedure for comparing methods that use different IRT models. © 2007 by the National Council on Measurement in Education.","['generate', 'dichotomous', 'item', 'score', 'fourparameter', 'beta', 'compound', 'binomial']","['generate', 'dichotomous', 'item', 'score', 'fourparameter', 'beta', 'compound', 'binomial']",generate dichotomous item score fourparameter beta compound binomial
Lockwood J.R.; McCaffrey D.F.; Hamilton L.S.; Stecher B.; Le V.-N.; Martinez J.F.,The sensitivity of value-added teacher effect estimates to different mathematics achievement measures,2007,44,"Using longitudinal data from a cohort of middle school students from a large school district, we estimate separate ""value-added"" teacher effects for two subscales of a mathematics assessment under a variety of statistical models varying in form and degree of control for student background characteristics. We find that the variation in estimated effects resulting from the different mathematics achievement measures is large relative to variation resulting from choices about model specification, and that the variation within teachers across achievement measures is larger than the variation across teachers. These results suggest that conclusions about individual teachers' performance based on value-added models can be sensitive to the ways in which student achievement is measured. © 2007 by the National Council on Measurement in Education.","['sensitivity', 'valueadde', 'teacher', 'effect', 'estimate', 'different', 'mathematic', 'achievement', 'measure']","['sensitivity', 'valueadde', 'teacher', 'effect', 'estimate', 'different', 'mathematic', 'achievement', 'measure']",sensitivity valueadde teacher effect estimate different mathematic achievement measure
Wainer H.; Wang X.A.; Skorupski W.P.; Bradlow E.T.,A Bayesian method for evaluating passing scores: The PPoP curve,2005,42,"In this note, we demonstrate an interesting use of the posterior distributions (and corresponding posterior samples of proficiency) that are yielded by fitting a fully Bayesian test scoring model to a complex assessment. Specifically, we examine the efficacy of the test in combination with the specific passing score that was chosen through expert judgment, or, in general, any external a priori criterion. In addition, we study the robustness of the test's efficacy with respect to choice of the passing score.","['bayesian', 'method', 'evaluate', 'pass', 'score', 'PPoP', 'curve']","['bayesian', 'method', 'evaluate', 'pass', 'score', 'ppop', 'curve']",bayesian method evaluate pass score ppop curve
