Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Domingue B.W.; Kanopka K.; Stenhaug B.; Soland J.; Kuhfeld M.; Wise S.; Piech C.,"Domingue, Benjamin W. (37103720900); Kanopka, Klint (57207731590); Stenhaug, Ben (57214128465); Soland, James (55960263300); Kuhfeld, Megan (56326201500); Wise, Steve (7202622563); Piech, Chris (55142243300)",37103720900; 57207731590; 57214128465; 55960263300; 56326201500; 7202622563; 55142243300,Variation in Respondent Speed and its Implications: Evidence from an Adaptive Testing Scenario,2021,Journal of Educational Measurement,58,3,,335,363,28,7,10.1111/jedm.12291,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108352505&doi=10.1111%2fjedm.12291&partnerID=40&md5=a7d8c01d12e0a1099d94faf597839181,"The more frequent collection of response time data is leading to an increased need for an understanding of how such data can be included in measurement models. Models for response time have been advanced, but relatively limited large-scale empirical investigations have been conducted. We take advantage of a large data set from the adaptive NWEA MAP Growth Reading Assessment to shed light on emergent features of response time behavior. We identify two behaviors in particular. The first, response acceleration, is a reduction in response time for responses that occur later in the assessment. We note that such reductions are heterogeneous as a function of estimated ability (lower ability estimates are associated with larger increases in acceleration) and that reductions in response time lead to lower accuracy relative to expectation for lower ability students. The second is within-person variation in the association between time usage and accuracy. Idiosyncratic within-person changes in response time have inconsistent implications for accuracy; in some cases additional response time predicts higher accuracy but in other cases additional response time predicts declines in accuracy. These findings have implications for models that incorporate response time and accuracy. Our approach may be useful in other studies of adaptive testing data. © 2021 by the National Council on Measurement in Education",,,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85108352505
Baldwin P.; Yaneva V.; Mee J.; Clauser B.E.; Ha L.A.,"Baldwin, Peter (34867881100); Yaneva, Victoria (57003253500); Mee, Janet (23498092200); Clauser, Brian E. (7003595460); Ha, Le An (13612155200)",34867881100; 57003253500; 23498092200; 7003595460; 13612155200,Using Natural Language Processing to Predict Item Response Times and Improve Test Construction,2021,Journal of Educational Measurement,58,1,,4,30,26,9,10.1111/jedm.12264,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102484910&doi=10.1111%2fjedm.12264&partnerID=40&md5=c607a7ea8212680fd8196c00e6031865,"In this article, it is shown how item text can be represented by (a) 113 features quantifying the text's linguistic characteristics, (b) 16 measures of the extent to which an information-retrieval-based automatic question-answering system finds an item challenging, and (c) through dense word representations (word embeddings). Using a random forests algorithm, these data then are used to train a prediction model for item response times and predicted response times then are used to assemble test forms. Using empirical data from the United States Medical Licensing Examination, we show that timing demands are more consistent across these specially assembled forms than across forms comprising randomly-selected items. Because an exam's timing conditions affect examinee performance, this result has implications for exam fairness whenever examinees are compared with each other or against a common standard. © 2020 by the National Council on Measurement in Education",,,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85102484910
Lim H.; Choe E.M.; Han K.T.,"Lim, Hwanggyu (57216896756); Choe, Edison M. (57197771137); Han, Kyung T. (19638651100)",57216896756; 57197771137; 19638651100,A Residual-Based Differential Item Functioning Detection Framework in Item Response Theory,2022,Journal of Educational Measurement,59,1,,80,104,24,6,10.1111/jedm.12313,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127265688&doi=10.1111%2fjedm.12313&partnerID=40&md5=251186c900e2a4bd14808c1c170b54bc,"Differential item functioning (DIF) of test items should be evaluated using practical methods that can produce accurate and useful results. Among a plethora of DIF detection techniques, we introduce the new Residual DIF (RDIF) framework, which stands out for its accessibility without sacrificing efficacy. This framework consists of three item response theory (IRT) residual statistics: (Formula presented.), (Formula presented.), and (Formula presented.). We conducted a simulation study with a 40-item test to assess the performance of RDIF in comparison with the Mantel-Haenszel, logistic regression, and IRT-based likelihood ratio test methods. Even when analyzing small sample sizes, the results revealed (Formula presented.) to be the most robust DIF detection statistic with strict control of Type I error across all simulated conditions when paired with the purification procedure. Also, (Formula presented.) and (Formula presented.) proved to be powerful indicators of uniform and nonuniform DIF, respectively. Therefore, (Formula presented.) should serve as the primary flagging criterion, whereas (Formula presented.) and (Formula presented.) best serve as indicators of DIF type. An empirical DIF study also showed that the RDIF framework could perform satisfactorily with real data from a large-scale assessment. Overall, the RDIF framework demonstrated its potential as a new standard for IRT-based DIF detection methodology. © 2022 by the National Council on Measurement in Education.",,,Article,Final,,Scopus,2-s2.0-85127265688
Liao X.; Bolt D.M.; Kim J.-S.,"Liao, Xiangyi (57222607143); Bolt, Daniel M. (57223443138); Kim, Jee-Seon (8849255200)",57222607143; 57223443138; 8849255200,Curvilinearity in the Reference Composite and Practical Implications for Measurement,2024,Journal of Educational Measurement,,,,,,,0,10.1111/jedm.12402,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195021316&doi=10.1111%2fjedm.12402&partnerID=40&md5=ce40732070e1bd260a120c9bc1d1bb2f,"Item difficulty and dimensionality often correlate, implying that unidimensional IRT approximations to multidimensional data (i.e., reference composites) can take a curvilinear form in the multidimensional space. Although this issue has been previously discussed in the context of vertical scaling applications, we illustrate how such a phenomenon can also easily occur within individual tests. Measures of reading proficiency, for example, often use different task types within a single assessment, a feature that may not only lead to multidimensionality, but also an association between item difficulty and dimensionality. Using a latent regression strategy, we demonstrate through simulations and empirical analysis how associations between dimensionality and difficulty yield a nonlinear reference composite where the weights of the underlying dimensions change across the scale continuum according to the difficulties of the items associated with the dimensions. We further show how this form of curvilinearity produces systematic forms of misspecification in traditional unidimensional IRT models (e.g., 2PL) and can be better accommodated by models such as monotone-polynomial or asymmetric IRT models. Simulations and a real-data example from the Early Childhood Longitudinal Study—Kindergarten are provided for demonstration. Some implications for measurement modeling and for understanding the effects of 2PL misspecification on measurement metrics are discussed. © 2024 The Author(s). Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.",,,Article,Article in press,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85195021316
Kim S.Y.; Lee W.-C.,"Kim, Stella Y. (57207794797); Lee, Won-Chan (57203094500)",57207794797; 57203094500,Several Variations of Simple-Structure MIRT Equating,2023,Journal of Educational Measurement,60,1,,76,105,29,0,10.1111/jedm.12341,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135020339&doi=10.1111%2fjedm.12341&partnerID=40&md5=ccc23cd04dccb9171f8b3016736d8604,"The current study proposed several variants of simple-structure multidimensional item response theory equating procedures. Four distinct sets of data were used to demonstrate feasibility of proposed equating methods for two different equating designs: a random groups design and a common-item nonequivalent groups design. Findings indicated some notable differences between the multidimensional and unidimensional approaches when data exhibited evidence for multidimensionality. In addition, some of the proposed methods were successful in providing equating results for both section-level and composite-level scores, which has not been achieved by most of the existing methodologies. The traditional method of using a set of quadrature points and weights for equating turned out to be computationally intensive, particularly for the data with higher dimensions. The study suggested an alternative way of using the Monte-Carlo approach for such data. This study also proposed a simple-structure true-score equating procedure that does not rely on a multivariate observed-score distribution. © 2022 The Authors. Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.",,,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85135020339
Li D.,"Li, Dongmei (57770170000)",57770170000,Assessing the Impact of Equating Error on Group Means and Group Mean Differences,2022,Journal of Educational Measurement,59,1,,62,79,17,0,10.1111/jedm.12311,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126300847&doi=10.1111%2fjedm.12311&partnerID=40&md5=e13a8087c6a3cd50fb9012cf4441baf5,"Equating error is usually small relative to the magnitude of measurement error, but it could be one of the major sources of error contributing to mean scores of large groups in educational measurement, such as the year-to-year state mean score fluctuations. Though testing programs may routinely calculate the standard error of equating (SEE), the commonly used summary statistics of SEE are not direct quantifications of the impact of equating error on group means. This article proposed summary statistics that directly quantify the impact of equating error on group means or group mean differences and provided empirical and analytical methods to estimate these statistics. Examples based on empirical data were used to illustrate practical applications of these statistics. © 2022 by the National Council on Measurement in Education.",,,Article,Final,,Scopus,2-s2.0-85126300847
Wise S.L.; Kuhfeld M.R.,"Wise, Steven L. (7202622563); Kuhfeld, Megan R. (56326201500)",7202622563; 56326201500,Using Retest Data to Evaluate and Improve Effort-Moderated Scoring,2021,Journal of Educational Measurement,58,1,,130,149,19,30,10.1111/jedm.12275,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087159385&doi=10.1111%2fjedm.12275&partnerID=40&md5=3bc153b2a207298c59ead878d17ac293,"There has been a growing research interest in the identification and management of disengaged test taking, which poses a validity threat that is particularly prevalent with low-stakes tests. This study investigated effort-moderated (E-M) scoring, in which item responses classified as rapid guesses are identified and excluded from scoring. Using achievement test data composed of test takers who were quickly retested and showed differential degrees of disengagement, three basic findings emerged. First, standard E-M scoring accounted for roughly one-third of the score distortion due to differential disengagement. Second, a modified E-M scoring method that used more liberal time thresholds performed better—accounting for two-thirds or more of the distortion. Finally, the inability of E-M scoring to account for all of the score distortion suggests the additional presence of nonrapid item responses that reflect less-than-full engagement by some test takers. © 2020 by the National Council on Measurement in Education",,,Article,Final,,Scopus,2-s2.0-85087159385
Setzer J.C.; Cheng Y.; Liu C.,"Setzer, J. Carl (26039416900); Cheng, Ying (36107474600); Liu, Cheng (56124182300)",26039416900; 36107474600; 56124182300,Classification Accuracy and Consistency of Compensatory Composite Test Scores,2023,Journal of Educational Measurement,60,3,,501,519,18,0,10.1111/jedm.12357,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147310697&doi=10.1111%2fjedm.12357&partnerID=40&md5=3be60d2e8595b93946e8f70144d65ffb,"Test scores are often used to make decisions about examinees, such as in licensure and certification testing, as well as in many educational contexts. In some cases, these decisions are based upon compensatory scores, such as those from multiple sections or components of an exam. Classification accuracy and classification consistency are two psychometric characteristics of test scores that are often reported when decisions are based on those scores, and several techniques currently exist for estimating both accuracy and consistency. However, research on classification accuracy and consistency on compensatory test scores is scarce. This study demonstrates two techniques that can be used to estimate classification accuracy and consistency when test scores are used in a compensatory manner. First, a simulation study demonstrates that both methods provide very similar results under the studied conditions. Second, we demonstrate how the two methods could be used with a high-stakes licensure exam. © 2023 by the National Council on Measurement in Education.",,,Article,Final,,Scopus,2-s2.0-85147310697
Goldhammer F.; Kroehne U.; Hahnel C.; Naumann J.; De Boeck P.,"Goldhammer, Frank (9274883100); Kroehne, Ulf (55849736300); Hahnel, Carolin (56904315700); Naumann, Johannes (57023455400); De Boeck, Paul (7005323510)",9274883100; 55849736300; 56904315700; 57023455400; 7005323510,Does Timed Testing Affect the Interpretation of Efficiency Scores?—A GLMM Analysis of Reading Components,2024,Journal of Educational Measurement,,,,,,,0,10.1111/jedm.12393,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192748578&doi=10.1111%2fjedm.12393&partnerID=40&md5=ba4d27c077f41f91a4925c77e5078af5,"The efficiency of cognitive component skills is typically assessed with speeded performance tests. Interpreting only effective ability or effective speed as efficiency may be challenging because of the within-person dependency between both variables (speed-ability tradeoff, SAT). The present study measures efficiency as effective ability conditional on speed by controlling speed experimentally. Item-level time limits control the stimulus presentation time and the time window for responding (timed condition). The overall goal was to examine the construct validity of effective ability scores obtained from untimed and timed condition by comparing the effects of theory-based item properties on item difficulty. If such effects exist, the scores reflect how well the test-takers were able to cope with the theory-based requirements. A German subsample from PISA 2012 completed two reading component skills tasks (i.e., word recognition and semantic integration) with and without item-level time limits. Overall, the included linguistic item properties showed stronger effects on item difficulty in the timed than the untimed condition. In the semantic integration task, item properties explained the time required in the untimed condition. The results suggest that effective ability scores in the timed condition better reflect how well test-takers were able to cope with the theoretically relevant task demands. © 2024 The Authors. Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.",,,Article,Article in press,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85192748578
Madison M.J.; Wind S.A.; Maas L.; Yamaguchi K.; Haab S.,"Madison, Matthew J. (56670984400); Wind, Stefanie A. (55616798300); Maas, Lientje (57216944455); Yamaguchi, Kazuhiro (57200510912); Haab, Sergio (58545967800)",56670984400; 55616798300; 57216944455; 57200510912; 58545967800,A One-Parameter Diagnostic Classification Model with Familiar Measurement Properties,2024,Journal of Educational Measurement,,,,,,,0,10.1111/jedm.12390,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191353513&doi=10.1111%2fjedm.12390&partnerID=40&md5=a945c232a865ba9574a3ad0d43e6da91,"Diagnostic classification models (DCMs) are psychometric models designed to classify examinees according to their proficiency or nonproficiency of specified latent characteristics. These models are well suited for providing diagnostic and actionable feedback to support intermediate and formative assessment efforts. Several DCMs have been developed and applied in different settings. This study examines a DCM with functional form similar to the 1-parameter logistic item response theory model. Using data from a large-scale mathematics education research study, we demonstrate and prove that the proposed DCM has measurement properties akin to the Rasch and one-parameter logistic item response theory models, including sum score sufficiency, item-free and person-free measurement, and invariant item and person ordering. We introduce some potential applications for this model, and discuss the implications and limitations of these developments, as well as directions for future research. © 2024 by the National Council on Measurement in Education.",,,Article,Article in press,All Open Access; Green Open Access,Scopus,2-s2.0-85191353513
